company_name,ticker,naics,gvkey
KUBOTA CORP,KUBTY,333111,6506
KULICKE & SOFFA INDUSTRIES,KLIC,333242,6509
KYOCERA CORP,KYOCY,334413,6512
LSI INDUSTRIES INC,LYTS,335122,6527
LSB INDUSTRIES INC,LXU,325180,6528
LA-Z-BOY INC,LZB,337121,6543
SPIRE INC,SR,221210,6547
LAM RESEARCH CORP,LRCX,333242,6565
LANCASTER COLONY CORP,LANC,311941,6573
LAWSON PRODUCTS,LAWS,423710,6617
LEE ENTERPRISES INC,LEE,511110,6639
LEGGETT & PLATT INC,LEG,337910,6649
LEGG MASON INC,LM,523920,6653
LEGG MASON INC,LM,523920,6653
LENNAR CORP,LEN,236117,6669
LEON'S FURNITURE LTD,LEFUF,442110,6672
JEFFERIES FINANCIAL GRP INC,JEF,523110,6682
JEFFERIES FINANCIAL GRP INC,JEF,523110,6682
LILLY (ELI) & CO,LLY,325412,6730
L BRANDS INC,LB,448190,6733
LINCOLN ELECTRIC HLDGS INC,LECO,333992,6737
LINCOLN NATIONAL CORP,LNC,524113,6742
LINCOLN NATIONAL CORP,LNC,524113,6742
LOBLAW COS LTD,LBLCF,445110,6771
LOCKHEED MARTIN CORP,LMT,336414,6774
LOEWS CORP,L,524126,6781
